"gameNumber","dimension","nThreads","initTime","resolutionTime"
0,5,1,0.000104,0.000055
1,5,1,0.000074,0.000042
2,5,1,0.000090,0.000036
3,5,1,0.000041,0.000028
4,5,1,0.000077,0.000036
5,5,1,0.000097,0.000045
6,5,1,0.000080,0.000042
7,5,1,0.000089,0.000046
8,5,1,0.000046,0.000026
9,5,1,0.000069,0.000090
10,10,1,0.000674,0.000231
11,10,1,0.000975,0.000283
12,10,1,0.000813,0.000248
13,10,1,0.000965,0.000239
14,10,1,0.000982,0.000313
15,10,1,0.001258,0.000426
16,10,1,0.000866,0.000310
17,10,1,0.001090,0.000334
18,10,1,0.001045,0.000244
19,10,1,0.000480,0.000156
20,20,1,0.045177,0.004998
21,20,1,0.064557,0.008665
22,20,1,0.019599,0.003534
23,20,1,0.075665,0.008105
24,20,1,0.051684,0.006434
25,20,1,0.040629,0.005955
26,20,1,0.044248,0.005828
27,20,1,0.047767,0.006765
28,20,1,0.084098,0.014167
29,20,1,0.062996,0.007137
30,30,1,3.594421,0.237789
31,30,1,3.879258,0.501111
32,30,1,1.801090,0.134512
33,30,1,3.031311,0.272426
34,30,1,2.280670,0.189697
35,30,1,2.441845,0.212205
36,30,1,2.200120,0.187053
37,30,1,2.967086,0.280017
38,30,1,2.356350,0.191751
39,30,1,3.858916,0.313946
40,40,1,203.620758,10.982515
41,40,1,53.263166,4.518434
42,40,1,111.590811,8.145773
43,40,1,99.949949,9.099392
44,40,1,47.622838,4.056483
45,40,1,106.715370,9.730274
46,40,1,74.302481,6.646524
47,40,1,57.070853,5.835711
48,40,1,105.504024,7.684533
49,40,1,180.005900,13.356634
0,5,1,0.000101,0.000056
1,5,1,0.000075,0.000040
2,5,1,0.000089,0.000044
3,5,1,0.000042,0.000028
4,5,1,0.000103,0.000034
5,5,1,0.000095,0.000045
6,5,1,0.000072,0.000040
7,5,1,0.000087,0.000066
8,5,1,0.000047,0.000027
9,5,1,0.000079,0.000051
10,10,1,1.345274,0.000227
11,10,1,0.001003,0.000267
12,10,1,0.000908,0.000238
13,10,1,0.000996,0.000231
14,10,1,0.000977,0.000329
15,10,1,0.001215,0.000435
16,10,1,0.000877,0.000326
17,10,1,0.001028,0.000340
18,10,1,0.000981,0.000261
19,10,1,0.000468,0.000156
20,20,1,0.044128,0.004680
21,20,1,0.061690,0.007865
22,20,1,0.019165,0.003342
23,20,1,0.072709,0.007452
24,20,1,0.050141,0.006276
25,20,1,0.039031,0.005445
26,20,1,0.040458,0.005299
27,20,1,0.047131,0.006307
28,20,1,0.079906,0.013105
29,20,1,0.060381,0.006506
30,30,1,3.392130,0.238524
31,30,1,3.619766,0.465732
32,30,1,1.620295,0.129126
33,30,1,2.849047,0.277451
34,30,1,2.231124,0.188592
35,30,1,2.320660,0.200924
36,30,1,2.065828,0.173081
37,30,1,2.826498,0.283058
38,30,1,2.257787,0.185862
39,30,1,4.004960,0.297920
40,40,1,185.820084,10.722007
41,40,1,50.519240,4.504751
42,40,1,104.081038,7.809292
43,40,1,96.763419,8.720561
44,40,1,45.747013,3.965673
45,40,1,102.065355,9.359417
46,40,1,72.389855,6.643706
47,40,1,56.470098,5.776128
48,40,1,101.741782,7.554397
49,40,1,180.953476,13.151022
0,5,1,0.000119,0.000055
1,5,1,0.000075,0.000041
2,5,1,0.000088,0.000036
3,5,1,0.000042,0.000030
4,5,1,0.000080,0.000033
5,5,1,0.000103,0.000054
6,5,1,0.000071,0.000040
7,5,1,0.000087,0.000047
8,5,1,0.000047,0.000027
9,5,1,0.000073,0.000040
10,10,1,1.346411,0.000235
11,10,1,0.001102,0.000297
12,10,1,0.000932,0.000237
13,10,1,0.001014,0.000232
14,10,1,0.000974,0.000342
15,10,1,0.001223,0.000416
16,10,1,0.000854,0.000322
17,10,1,0.001030,0.000348
18,10,1,0.000975,0.000298
19,10,1,0.000469,0.000170
20,20,1,0.043976,0.004766
21,20,1,0.062894,0.007730
22,20,1,0.019175,0.003239
23,20,1,0.073363,0.007478
24,20,1,0.050255,0.006280
25,20,1,0.038913,0.005379
26,20,1,0.040616,0.005234
27,20,1,0.046940,0.006163
28,20,1,0.081034,0.013145
29,20,1,0.060406,0.006590
30,30,1,3.360711,0.230987
31,30,1,3.622953,0.465065
32,30,1,1.617213,0.129546
33,30,1,2.776262,0.256461
34,30,1,2.167111,0.186456
35,30,1,2.314656,0.201487
36,30,1,2.175198,0.180677
37,30,1,3.272706,0.289182
38,30,1,2.421161,0.194592
39,30,1,3.954222,0.313556
40,40,1,195.784634,10.786277
41,40,1,51.756035,4.515161
42,40,1,104.348914,7.756169
43,40,1,96.652491,8.706103
44,40,1,45.436641,3.970990
45,40,1,101.708752,9.337504
46,40,1,71.915853,6.584894
47,40,1,56.418268,5.750054
48,40,1,101.409871,7.507043
49,40,1,173.324060,13.055156
0,5,1,0.000105,0.000062
1,5,1,0.000083,0.000038
2,5,1,0.000111,0.000034
3,5,1,0.000041,0.000027
4,5,1,0.000079,0.000040
5,5,1,0.000095,0.000046
6,5,1,0.000072,0.000040
7,5,1,0.000087,0.000047
8,5,1,0.000047,0.000027
9,5,1,0.000071,0.000040
10,10,1,1.351680,0.000223
11,10,1,0.001121,0.000259
12,10,1,0.000941,0.000239
13,10,1,0.001035,0.000234
14,10,1,0.000983,0.000324
15,10,1,0.001269,0.000409
16,10,1,0.000866,0.000310
17,10,1,0.001014,0.000329
18,10,1,0.000974,0.000282
19,10,1,0.000464,0.000158
20,20,1,0.041894,0.004479
21,20,1,0.060554,0.008142
22,20,1,0.018310,0.003058
23,20,1,0.071582,0.007499
24,20,1,0.048168,0.006266
25,20,1,0.037404,0.005121
26,20,1,0.038808,0.005204
27,20,1,0.044818,0.006007
28,20,1,0.078365,0.014601
29,20,1,0.058347,0.006566
30,30,1,3.356812,0.235461
31,30,1,3.604979,0.461185
32,30,1,1.606856,0.137018
33,30,1,2.779308,0.260269
34,30,1,2.172783,0.189623
35,30,1,2.306064,0.200985
36,30,1,2.032194,0.180674
37,30,1,2.994823,0.273702
38,30,1,2.269179,0.186838
39,30,1,3.924254,0.302302
40,40,1,184.167493,10.653198
41,40,1,50.586898,4.499697
42,40,1,104.327920,7.751862
43,40,1,96.847756,8.702482
44,40,1,45.669412,3.964938
45,40,1,102.059449,9.335970
46,40,1,71.676435,6.575123
47,40,1,56.294701,5.786140
48,40,1,103.047081,7.532266
49,40,1,173.742313,13.126473
0,5,1,0.000108,0.000061
1,5,1,0.000074,0.000042
2,5,1,0.000095,0.000044
3,5,1,0.000041,0.000028
4,5,1,0.000079,0.000034
5,5,1,0.000112,0.000044
6,5,1,0.000069,0.000037
7,5,1,0.000086,0.000048
8,5,1,0.000046,0.000026
9,5,1,0.000072,0.000041
10,10,1,1.376170,0.000219
11,10,1,0.001059,0.000262
12,10,1,0.000967,0.000245
13,10,1,0.001188,0.000241
14,10,1,0.000976,0.000324
15,10,1,0.001214,0.000411
16,10,1,0.000864,0.000309
17,10,1,0.001009,0.000331
18,10,1,0.000972,0.000244
19,10,1,0.000479,0.000159
20,20,1,0.041363,0.004475
21,20,1,0.060884,0.007694
22,20,1,0.018366,0.003007
23,20,1,0.071903,0.007833
24,20,1,0.048230,0.006391
25,20,1,0.037606,0.005170
26,20,1,0.039164,0.005456
27,20,1,0.045130,0.006142
28,20,1,0.078453,0.013727
29,20,1,0.058922,0.006415
30,30,1,3.363040,0.232858
31,30,1,3.609391,0.464482
32,30,1,1.614726,0.130726
33,30,1,2.789827,0.257526
34,30,1,2.173793,0.187661
35,30,1,2.316237,0.202690
36,30,1,2.038782,0.175022
37,30,1,2.835914,0.273626
38,30,1,2.261817,0.188170
39,30,1,3.694466,0.300191
40,40,1,183.627017,10.625727
41,40,1,50.634954,4.497054
42,40,1,104.062861,7.722680
43,40,1,96.554508,8.643000
